WTI,DateTime,WCS,WCS_Interpolated,WTI_Interpolated,WTI_WCS_diff
65.49,2018-03-26,41.577763866431006,41.577763866431006,65.49,23.91223613356899
65.21,2018-03-27,42.62100133162833,42.62100133162833,65.21,22.588998668371666
64.3,2018-03-28,42.88165722325497,42.88165722325497,64.3,21.41834277674503
64.87,2018-03-29,41.058768784386714,41.058768784386714,64.87,23.81123121561329
63.05,2018-04-02,41.058768784386714,41.058768784386714,63.05,21.991231215613283
63.41,2018-04-03,45.32504213504597,45.32504213504597,63.41,18.084957864954028
63.35,2018-04-04,46.79241704678783,46.79241704678783,63.35,16.55758295321217
63.53,2018-04-05,46.5399651373352,46.5399651373352,63.53,16.9900348626648
62.03,2018-04-06,45.08905461953557,45.08905461953557,62.03,16.940945380464434
63.4,2018-04-09,47.21139878007244,47.21139878007244,63.4,16.188601219927556
65.48,2018-04-10,49.76865763976614,49.76865763976614,65.48,15.711342360233864
66.81,2018-04-11,51.798180140426126,51.798180140426126,66.81,15.011819859573876
67.07,2018-04-12,52.127482871136316,52.127482871136316,67.07,14.942517128863678
67.35,2018-04-13,52.37575807599483,52.37575807599483,67.35,14.974241924005163
66.23,2018-04-16,51.18683307822068,51.18683307822068,66.23,15.043166921779324
66.5,2018-04-17,49.90368841454208,49.90368841454208,66.5,16.59631158545792
68.44,2018-04-18,51.17084179563778,51.17084179563778,68.44,17.26915820436222
68.3,2018-04-19,51.093880979195355,51.093880979195355,68.3,17.206119020804643
68.26,2018-04-20,51.21215421803287,51.21215421803287,68.26,17.047845781967133
67.61,2018-04-23,51.53644896770386,51.53644896770386,67.61,16.073551032296137
67.66,2018-04-24,50.56506459687003,50.56506459687003,67.66,17.094935403129966
68.0,2018-04-25,50.89812332936484,50.89812332936484,68.0,17.101876670635157
68.18,2018-04-26,50.80221769603167,50.80221769603167,68.18,17.37778230396834
68.11,2018-04-27,50.45101101723953,50.45101101723953,68.11,17.65898898276047
68.56,2018-04-30,52.01983095041222,52.01983095041222,68.56,16.54016904958778
67.28,2018-05-01,,52.360608059242864,67.28,14.919391940757137
67.91,2018-05-02,52.70138516807351,52.70138516807351,67.91,15.20861483192649
68.45,2018-05-03,52.532706863293086,52.532706863293086,68.45,15.917293136706917
69.71,2018-05-04,53.649335335417746,53.649335335417746,69.71,16.060664664582248
70.74,2018-05-07,54.87269534679544,54.87269534679544,70.74,15.867304653204556
68.83,2018-05-08,53.227192914356834,53.227192914356834,68.83,15.602807085643164
71.16,2018-05-09,55.64882573557854,55.64882573557854,71.16,15.511174264421456
71.36,2018-05-10,56.12611575544694,56.12611575544694,71.36,15.23388424455306
70.69,2018-05-11,55.73531993255528,55.73531993255528,70.69,14.95468006744472
71.01,2018-05-14,55.75277130474551,55.75277130474551,71.01,15.257228695254497
71.34,2018-05-15,57.78488317822784,57.78488317822784,71.34,13.555116821772167
71.43,2018-05-16,57.96302058580879,57.96302058580879,71.43,13.466979414191215
71.47,2018-05-17,54.521773872743694,54.521773872743694,71.47,16.948226127256305
71.23,2018-05-18,53.94049511696571,53.94049511696571,71.23,17.289504883034297
72.26,2018-05-21,55.29826501693509,55.29826501693509,72.26,16.961734983064915
72.09,2018-05-22,54.46139545016074,54.46139545016074,72.09,17.628604549839267
71.85,2018-05-23,54.821555835754616,54.821555835754616,71.85,17.02844416424538
70.77,2018-05-24,53.40115403223729,53.40115403223729,70.77,17.36884596776271
67.92,2018-05-25,50.60873857290219,50.60873857290219,67.92,17.31126142709781
66.8,2018-05-29,47.25517059482903,47.25517059482903,66.8,19.544829405170965
68.24,2018-05-30,42.89828188682915,42.89828188682915,68.24,25.34171811317084
66.98,2018-05-31,41.99260046177126,41.99260046177126,66.98,24.987399538228743
65.81,2018-06-01,39.855998438135394,39.855998438135394,65.81,25.954001561864608
64.76,2018-06-04,50.911788317146495,50.911788317146495,64.76,13.84821168285351
65.51,2018-06-05,50.77945235767774,50.77945235767774,65.51,14.730547642322264
64.75,2018-06-06,49.49351025580635,49.49351025580635,64.75,15.256489744193651
65.96,2018-06-07,49.75863385832369,49.75863385832369,65.96,16.201366141676303
65.77,2018-06-08,47.957230490790124,47.957230490790124,65.77,17.812769509209872
66.1,2018-06-11,47.35336882511153,47.35336882511153,66.1,18.746631174888464
66.38,2018-06-12,47.68008278240424,47.68008278240424,66.38,18.699917217595754
66.63,2018-06-13,48.10604187404492,48.10604187404492,66.63,18.523958125955076
66.91,2018-06-14,48.357383721808375,48.357383721808375,66.91,18.55261627819162
65.01,2018-06-15,46.81279094360711,46.81279094360711,65.01,18.197209056392893
65.91,2018-06-18,42.12892123962064,42.12892123962064,65.91,23.78107876037936
65.09,2018-06-19,41.43412859716495,41.43412859716495,65.09,23.655871402835054
65.92,2018-06-20,41.71483096110612,41.71483096110612,65.92,24.205169038893885
65.68,2018-06-21,40.8505026881303,40.8505026881303,65.68,24.82949731186971
69.02,2018-06-22,43.6043108296861,43.6043108296861,69.02,25.415689170313897
69.91,2018-06-25,44.337752329315485,44.337752329315485,69.91,25.57224767068451
75.23,2018-06-26,50.06288328274871,50.06288328274871,75.23,25.167116717251297
77.41,2018-06-27,52.80699652083135,52.80699652083135,77.41,24.60300347916865
73.45,2018-06-28,51.64804600822318,51.64804600822318,73.45,21.80195399177682
74.13,2018-06-29,53.12295355894813,53.12295355894813,74.13,21.007046441051862
73.89,2018-07-02,52.88148558822564,52.88148558822564,73.89,21.008514411774364
74.19,2018-07-03,53.13811134917305,53.13811134917305,74.19,21.051888650826946
73.05,2018-07-05,52.79638601472172,52.79638601472172,73.05,20.253613985278278
73.78,2018-07-06,54.22753363593187,54.22753363593187,73.78,19.55246636406813
73.93,2018-07-09,54.86759974765759,54.86759974765759,73.93,19.062400252342414
74.11,2018-07-10,55.477326065561364,55.477326065561364,74.11,18.632673934438635
70.47,2018-07-11,51.74094373305348,51.74094373305348,70.47,18.72905626694652
70.28,2018-07-12,50.836729089983905,50.836729089983905,70.28,19.443270910016096
71.03,2018-07-13,54.19721194574147,54.19721194574147,71.03,16.83278805425853
68.22,2018-07-16,51.79608365938846,51.79608365938846,68.22,16.42391634061154
68.03,2018-07-17,49.911852533864405,49.911852533864405,68.03,18.118147466135596
68.78,2018-07-18,42.74370776500256,42.74370776500256,68.78,26.03629223499744
69.42,2018-07-19,41.979539172607275,41.979539172607275,69.42,27.440460827392727
70.31,2018-07-20,42.098549801737605,42.098549801737605,70.31,28.211450198262398
67.9,2018-07-23,41.44952994057853,41.44952994057853,67.9,26.450470059421477
70.77,2018-07-24,42.05055419126211,42.05055419126211,70.77,28.719445808737888
71.13,2018-07-25,42.515188854898334,42.515188854898334,71.13,28.614811145101662
71.59,2018-07-26,40.764746647099585,40.764746647099585,71.59,30.82525335290042
68.66,2018-07-27,39.80039917244381,39.80039917244381,68.66,28.859600827556186
